epoch,val_loss_a,val_loss_b,val_acc_a,val_acc_b
1,0.4190084636211395,0.4196729063987732,0.8209999799728394,0.8009999990463257
2,0.25311800837516785,0.27846261858940125,0.8899999856948853,0.8659999966621399
3,0.21760793030261993,0.25822824239730835,0.906000018119812,0.8700000047683716
4,0.21649205684661865,0.25683659315109253,0.8999999761581421,0.8830000162124634
5,0.2142883539199829,0.25639981031417847,0.906000018119812,0.8830000162124634
6,0.21899814903736115,0.2857789695262909,0.9070000052452087,0.8830000162124634
7,0.23331905901432037,0.2845067083835602,0.9020000100135803,0.8889999985694885
8,0.22624064981937408,0.29683995246887207,0.9049999713897705,0.8880000114440918
9,0.24443461000919342,0.29360830783843994,0.9129999876022339,0.890999972820282
10,0.20889165997505188,0.3358130156993866,0.9200000166893005,0.8840000033378601
