epoch,val_loss_a,val_loss_b,val_acc_a,val_acc_b
1,0.4240058362483978,0.48067593574523926,0.824999988079071,0.7739999890327454
2,0.25932198762893677,0.2685900926589966,0.8769999742507935,0.8899999856948853
3,0.22163942456245422,0.2196609079837799,0.8970000147819519,0.8889999985694885
4,0.21277496218681335,0.22433806955814362,0.9110000133514404,0.9020000100135803
5,0.23072108626365662,0.2088535577058792,0.8999999761581421,0.9049999713897705
6,0.23008102178573608,0.21084845066070557,0.902999997138977,0.9070000052452087
7,0.2358478605747223,0.22671478986740112,0.9070000052452087,0.9049999713897705
8,0.2387659102678299,0.2173045128583908,0.9139999747276306,0.9129999876022339
9,0.24031150341033936,0.23591119050979614,0.9150000214576721,0.9089999794960022
10,0.2558543086051941,0.2383841574192047,0.9129999876022339,0.9079999923706055
