step,cosine_similarity
0,-0.0014706691727042198
1,-0.011239121668040752
2,-0.0360354445874691
3,-0.05655067414045334
4,-0.07015925645828247
5,-0.03802879899740219
6,-0.04217233881354332
7,-0.011445246636867523
8,0.056950267404317856
9,-0.030620813369750977
10,-0.005290830973535776
11,-0.12994259595870972
12,-0.14891712367534637
13,-0.026012130081653595
14,-0.09429915994405746
15,0.03395245224237442
16,-0.023362547159194946
17,-0.07010912150144577
18,-0.03810688108205795
19,-0.13382335007190704
20,-0.03919007256627083
21,-0.007582601625472307
22,-0.057014524936676025
23,-0.13281884789466858
24,-0.11929488927125931
25,-0.015703393146395683
26,-0.025715593248605728
27,-0.09370753914117813
28,-0.03198425471782684
29,-0.09839852899312973
30,-0.03302227705717087
31,-0.03285375237464905
32,0.025746989995241165
33,-0.03091731108725071
34,-0.07513538002967834
35,-0.010568816214799881
36,0.0403989776968956
37,-0.008170019835233688
38,0.04309924319386482
39,-0.061210643500089645
40,0.07099582999944687
41,0.03669225051999092
42,-0.037904031574726105
43,-0.021186593919992447
44,-0.07609320431947708
45,0.05740353465080261
46,-0.09911574423313141
47,0.053009405732154846
48,-0.0555603988468647
49,0.07976625114679337
50,-0.021115435287356377
51,0.002567858435213566
52,-0.01609785482287407
53,-0.034462690353393555
54,0.010345563292503357
55,0.030922334641218185
56,0.02185637690126896
57,-0.007705529220402241
58,0.09752225875854492
59,-0.1001928374171257
60,-0.011660837568342686
61,-0.011682040058076382
62,0.057411886751651764
63,-0.019533324986696243
64,0.06753255426883698
65,0.05727073922753334
66,-0.013818961568176746
67,-0.013048968277871609
68,0.00676818797364831
69,-0.010515783913433552
70,0.0017356540774926543
71,0.0931832492351532
72,0.04397006332874298
73,0.020229408517479897
74,0.03566595911979675
75,0.011495012789964676
76,0.05325205996632576
77,-0.02337244339287281
78,0.05620024725794792
79,-0.0026356850285083055
80,0.019517743960022926
81,0.04076936095952988
82,0.04511743038892746
83,-0.026961801573634148
84,0.05502249300479889
85,0.10077392309904099
86,0.028706144541502
87,0.0035701340530067682
88,0.11004325747489929
89,-0.008993705734610558
90,-0.0330316536128521
91,-0.10265851020812988
92,0.034994758665561676
93,-0.126733660697937
94,-0.07116490602493286
95,-0.009437654167413712
96,0.08757086843252182
97,0.021197648718953133
98,0.140963613986969
99,-0.04356162250041962
100,0.04945962131023407
101,0.0065910471603274345
102,-0.08320748805999756
103,-0.012559320777654648
104,-0.011156918480992317
105,0.021235371008515358
106,-0.09368760138750076
107,0.025709224864840508
108,0.09217551350593567
109,0.02520236000418663
110,0.08649050444364548
111,-0.02955867163836956
112,-0.026183931156992912
113,0.08873642235994339
114,0.029003243893384933
115,0.07709573209285736
116,-0.030842529609799385
117,0.09950839728116989
118,-0.048924341797828674
119,0.02394391968846321
120,0.099029041826725
121,0.07695849239826202
122,-0.06455513834953308
123,0.14737053215503693
124,-0.028213100507855415
125,-0.07210809737443924
126,0.0654941275715828
127,0.04460439458489418
128,-0.04235263913869858
129,0.02560698240995407
130,-0.035923510789871216
131,0.0966944769024849
132,-0.026176055893301964
133,-0.014901199378073215
134,0.1681545078754425
135,0.01784893497824669
136,-0.02821549028158188
137,-0.05699116364121437
138,0.11859498172998428
139,-0.08940066397190094
140,0.028370797634124756
141,0.11485790461301804
142,-0.04857912287116051
143,-0.0015205425443127751
144,-0.08143597841262817
145,0.00427611730992794
146,0.08552826941013336
147,-0.08114544302225113
148,0.15616296231746674
149,0.05988113209605217
150,0.026208937168121338
151,-0.06861848384141922
152,0.01957782357931137
153,-0.016233140602707863
154,0.0413651280105114
155,-0.09738408774137497
156,-0.041230738162994385
157,-0.09912773221731186
158,0.03048943355679512
159,-0.008590392768383026
160,-0.08196236938238144
161,-0.04693888872861862
162,0.03549619019031525
163,0.12563996016979218
164,-0.07969595491886139
165,-0.05627729743719101
166,0.03517111763358116
167,0.07775793969631195
168,-0.14925254881381989
169,-0.09427326917648315
170,0.0011963981669396162
171,-0.1269703507423401
172,-0.012922687456011772
173,-0.069802425801754
174,-0.0931594967842102
175,0.00045664983917959034
176,-0.07797998934984207
177,-0.02591472677886486
178,-0.06699515134096146
179,-0.07533624023199081
180,-0.10997264087200165
181,-0.007354692090302706
182,0.03315335139632225
183,0.04050588235259056
184,0.10449811071157455
185,-0.05205613374710083
186,-0.01678558625280857
187,-0.09041735529899597
188,0.006289677228778601
189,-0.12863314151763916
190,0.04322139173746109
191,-0.021265989169478416
192,-0.028014693409204483
193,0.046161260455846786
194,0.027675000950694084
195,0.0404236800968647
196,0.10279642045497894
197,0.10135019570589066
198,-0.053906187415122986
199,-0.07555364072322845
200,-0.015143357217311859
201,-0.016990015283226967
202,-0.010623890906572342
203,-0.16645817458629608
204,-0.02826033905148506
205,0.0041830581612885
206,-0.08469440788030624
207,-0.03678033500909805
208,0.038846295326948166
209,0.015391359105706215
210,0.043113984167575836
211,-0.04229486733675003
212,0.04398118332028389
213,-0.029308021068572998
214,-0.06746117025613785
215,0.032211218029260635
216,-0.09181614220142365
217,-0.03482004627585411
218,0.005523116327822208
219,-0.051981404423713684
220,-0.026842299848794937
221,-0.20230159163475037
222,-0.019338684156537056
223,-0.04237546771764755
224,0.01175227202475071
225,0.0015147647354751825
226,-0.019124433398246765
227,0.09990492463111877
228,0.018095197156071663
229,-0.01762266643345356
230,0.14620380103588104
231,0.09199705719947815
232,-0.04195023328065872
233,-0.0572497732937336
234,-0.06831026077270508
235,0.08309169113636017
236,-0.004822722636163235
237,0.02368328906595707
238,-0.04881073907017708
239,0.04722076281905174
240,-0.014240323565900326
241,-0.026087675243616104
242,-0.021213462576270103
243,0.018791068345308304
244,-0.048506833612918854
245,-0.04702629894018173
246,0.03756915405392647
247,-0.02450970560312271
248,-0.10696656256914139
249,0.04262756183743477
250,-0.03670588508248329
251,-0.06682191789150238
252,-0.11421430110931396
253,-0.07659439742565155
254,0.07253566384315491
255,-0.01686566136777401
256,0.08911292999982834
257,-0.09656637907028198
258,0.08316086232662201
259,0.025827543810009956
260,0.0022292062640190125
261,-0.017695926129817963
262,-0.1463027000427246
263,0.03611689433455467
264,0.0224106814712286
265,0.02213207632303238
266,0.059181321412324905
267,-0.024885114282369614
268,-0.005434468854218721
269,-0.0014212507521733642
270,-0.019892888143658638
271,0.009494890458881855
272,-0.10133519768714905
273,0.004371178802102804
274,0.025425642728805542
275,0.03773549199104309
276,-0.05913550406694412
277,-0.11501822620630264
278,0.05894167348742485
279,0.1375640481710434
280,-0.020206525921821594
281,0.07676087319850922
282,-0.04541672021150589
283,-0.013252745382487774
284,-0.0030928002670407295
285,-0.006263473071157932
286,-0.09408001601696014
287,-0.0023607886396348476
288,-0.042977720499038696
289,0.05033829063177109
290,0.04947519674897194
291,0.008115890435874462
292,0.05465324968099594
293,-0.002153453417122364
294,0.08515509217977524
295,0.008060421794652939
296,0.030773194506764412
297,-0.04160962998867035
298,-0.024246443063020706
299,0.05253578722476959
300,-0.007604141253978014
301,0.08884896337985992
302,0.025759626179933548
303,0.04793559014797211
304,-0.005311444401741028
305,0.05898549035191536
306,-0.07599209994077682
307,0.057346411049366
308,-7.29892126400955e-05
309,-0.00025913253193721175
310,0.13225558400154114
311,0.02582177147269249
312,-0.060198452323675156
313,-0.010751313529908657
314,0.038913387805223465
315,0.10611356794834137
316,-0.04426536336541176
317,0.051534805446863174
318,0.007637130096554756
319,-0.006778822746127844
320,-0.010165855288505554
321,-0.04731251671910286
322,0.015517272986471653
323,0.003938671667128801
324,0.018499664962291718
325,-0.112974151968956
326,-0.046571034938097
327,-0.02549479529261589
328,-0.0013400017051026225
329,-0.028084654361009598
330,0.0014122793218120933
331,-0.04491855204105377
332,-0.028521934524178505
333,0.02279703877866268
334,0.032414212822914124
335,-0.01780005171895027
336,0.06433199346065521
337,0.005421759095042944
338,0.013625098392367363
339,-0.0725013017654419
340,-0.00885829422622919
341,0.040231358259916306
342,-0.013162095099687576
343,0.01842939667403698
344,-0.06585543602705002
345,0.0058237286284565926
346,0.03130728378891945
347,0.010796815156936646
348,-0.04742921516299248
349,-0.017953338101506233
350,0.045271944254636765
351,-0.1834215521812439
352,-0.01759938709437847
353,0.05339605733752251
354,-0.0951099619269371
355,0.05564252659678459
356,-0.11825086921453476
357,0.01735626719892025
358,-0.007678347174078226
359,0.001188533497042954
360,0.01172658707946539
361,-0.01729017309844494
362,0.0372302308678627
363,-0.06413889676332474
364,-0.045378558337688446
365,-0.05448733642697334
366,-0.006709353998303413
367,0.011388293467462063
368,-0.012057573534548283
369,0.0662689208984375
370,0.048681411892175674
371,-0.02190985344350338
372,0.012868981808423996
373,0.03879503905773163
374,-0.09092490375041962
375,-0.01008147094398737
376,0.06595389544963837
377,-0.014848842285573483
378,-0.001153654302470386
379,-0.03166200965642929
380,0.04159548878669739
381,0.026937013491988182
382,-0.2645999491214752
383,0.03198149800300598
384,0.03538142517209053
385,-0.08680771291255951
386,0.21242424845695496
387,-0.08572842180728912
388,0.007026716135442257
389,0.21446658670902252
390,-0.011027799919247627
391,-0.03795097395777702
392,-0.015607567504048347
393,-0.023323869332671165
394,-0.04993484169244766
395,-0.07525298744440079
396,-0.017833517864346504
397,-0.045966167002916336
398,0.028142735362052917
399,0.08837522566318512
400,-0.010057821869850159
401,0.016678087413311005
402,0.008337742649018764
403,0.004338169936090708
404,0.18302258849143982
405,0.07618077844381332
406,0.010784311220049858
407,0.02654692344367504
408,0.025525346398353577
409,0.06642692536115646
410,-0.04878610745072365
411,-0.019085614010691643
412,-0.0316164456307888
413,0.010525849647819996
414,0.007748096249997616
415,-0.025512967258691788
416,0.028319159522652626
417,-0.03957929462194443
418,0.028612064197659492
419,0.015474112704396248
420,-0.06030385196208954
421,0.0009706610580906272
422,0.022881753742694855
423,0.030787000432610512
424,-0.007554586976766586
425,-0.013317681849002838
426,-0.006732369773089886
427,0.09514442831277847
428,-0.01104813814163208
429,0.024474715813994408
430,-0.01563163846731186
431,0.034745797514915466
432,0.02665092796087265
433,0.0029388368129730225
434,-0.026465103030204773
435,0.032241176813840866
436,-0.001936973538249731
437,-0.014652368612587452
438,-0.08708734065294266
439,-0.03605703264474869
440,-0.03519953787326813
441,-0.035310860723257065
442,-0.06943105906248093
443,0.03328874707221985
444,0.01073107123374939
445,-0.048994407057762146
446,-0.048283807933330536
447,0.04486963897943497
448,-0.01571865938603878
449,-0.030627790838479996
450,-0.06957937031984329
451,0.056955061852931976
452,-0.0347946360707283
453,0.01103703398257494
454,-0.047430284321308136
455,-0.071085125207901
456,0.05399813875555992
457,-0.10726355016231537
458,-0.04469951614737511
459,-0.03090669773519039
460,0.06526295840740204
461,0.046199072152376175
462,0.00269668479450047
463,-0.0027264757081866264
464,0.017800942063331604
465,-0.021987803280353546
466,-0.002077873330563307
467,-0.02185959927737713
468,0.0029164073057472706
469,0.14087706804275513
470,0.026041286066174507
471,-0.07073202729225159
472,0.021568581461906433
473,0.004437594208866358
474,-0.02822866290807724
475,-0.016080349683761597
476,0.02733447030186653
477,-0.005837264936417341
478,-0.03557608649134636
479,0.006168273277580738
480,0.007285837549716234
481,-0.16647465527057648
482,0.015890134498476982
483,-0.02706940285861492
484,0.03562223166227341
485,-0.04536984860897064
486,0.00021647049288731068
487,-0.24021793901920319
488,0.1365310549736023
489,0.036531995981931686
490,-0.006373807322233915
491,-0.03543441742658615
492,0.0060953181236982346
493,-0.01365758664906025
494,0.07495549321174622
495,-0.02089233696460724
496,-0.005441955290734768
497,-0.008029142394661903
498,-0.05022898316383362
499,0.008393332362174988
500,-0.008880957961082458
501,-0.06935091316699982
502,-0.06771781295537949
503,-0.07498583942651749
504,0.012410839088261127
505,0.0015049398643895984
506,0.00875136163085699
507,0.004303725436329842
508,-0.032191649079322815
509,-0.010188291780650616
510,-0.042873527854681015
511,0.013579784892499447
512,-0.045724622905254364
513,0.030142368748784065
514,-0.01712161861360073
515,0.03794434294104576
516,-0.019008906558156013
517,-0.025758804753422737
518,-0.01568722166121006
519,-0.019279800355434418
520,-0.0038423333317041397
521,-0.034490812569856644
522,-0.019930850714445114
523,0.00914867501705885
524,0.008202691562473774
525,0.039281122386455536
526,-0.05484677478671074
527,-0.034750331193208694
528,-0.11486560851335526
529,-0.020571721717715263
530,0.012155571952462196
531,-0.0034373095259070396
532,0.10520491749048233
533,0.07412353903055191
534,-0.03049599565565586
535,0.04448741674423218
536,0.010954098775982857
537,-0.10310571640729904
538,0.13278435170650482
539,0.004186021164059639
540,-0.025216734036803246
541,0.015483547002077103
542,0.012893322855234146
543,0.08108922094106674
544,0.017739620059728622
545,-0.012419590726494789
546,0.016336850821971893
547,-0.030340619385242462
548,0.005286196246743202
549,-0.00258106691762805
550,0.030280275270342827
551,-0.03444334492087364
552,-0.15625666081905365
553,-0.006826144643127918
554,0.03359810262918472
555,-0.025914013385772705
556,-0.056692760437726974
557,0.001553329173475504
558,-0.06564031541347504
559,-0.07160693407058716
560,-0.04873308166861534
561,-0.013059532269835472
562,-0.09991581737995148
563,-0.03442208841443062
564,0.007647070102393627
565,-0.09760870039463043
566,-0.03449669107794762
567,0.008802058175206184
568,-0.046786531805992126
569,-0.011928639374673367
570,0.06913821399211884
571,-0.006855355110019445
572,0.22997017204761505
573,-0.01966499537229538
574,0.057120181620121
575,0.03035489097237587
576,-0.019083378836512566
577,-0.003538628341630101
578,-0.050873830914497375
579,-0.0035242820158600807
580,-0.009975659660995007
581,-0.05368591472506523
582,-0.029582684859633446
583,0.02234482392668724
584,0.021325550973415375
585,0.03385835886001587
586,-0.027898363769054413
587,-0.02914118394255638
588,-0.06399182975292206
589,-0.029912983998656273
590,0.13266754150390625
591,-0.06996241211891174
592,-0.0008866015123203397
593,-0.017629407346248627
594,-0.08337769657373428
595,0.014131632633507252
596,-0.0055565498769283295
597,-0.10102877765893936
598,0.032848283648490906
599,0.020317867398262024
600,-0.020962566137313843
601,0.053862106055021286
602,0.009418722242116928
603,0.00695720873773098
604,-0.017903128638863564
605,-0.0209498293697834
606,-0.015055743977427483
607,0.026639841496944427
608,-0.025168469175696373
609,-0.04554815962910652
610,-0.04311104118824005
611,0.029749605804681778
612,0.02597939409315586
613,-0.06055033579468727
614,0.05340278148651123
615,-0.02101796120405197
616,-0.0064097801223397255
617,-0.02416163682937622
618,-0.0017608903581276536
619,0.03099563904106617
620,-0.036992598325014114
621,-0.020483635365962982
622,-0.033444199711084366
623,0.04903506860136986
624,-0.007766516413539648
625,-0.016690203920006752
626,0.006305251736193895
627,0.05228188633918762
628,-0.0002852259494829923
629,0.03180336207151413
630,-0.03752477094531059
631,-0.0764288678765297
632,0.05055570602416992
633,-0.06922929733991623
634,0.019331837072968483
635,-0.02408350631594658
636,0.007066554389894009
637,-0.01902119815349579
638,-0.01201260183006525
639,-0.00355728343129158
640,-0.04481220617890358
641,0.17149507999420166
642,-0.08465021103620529
643,-0.009081567637622356
644,0.014389999210834503
645,-0.007169656455516815
646,0.012200290337204933
647,-0.07422458380460739
648,0.01886240765452385
649,-0.04087051376700401
650,-0.009498119354248047
651,-0.0421353243291378
652,-0.02914312295615673
653,-0.006922485772520304
654,-0.009307891130447388
655,-0.07695743441581726
656,-0.008962566033005714
657,-0.03888803720474243
658,-0.016908686608076096
659,-0.06339116394519806
660,0.031767964363098145
661,-0.012067481875419617
662,0.06358497589826584
663,-0.019440852105617523
664,-0.015114383772015572
665,-0.017278378829360008
666,0.00988916214555502
667,-0.04390958696603775
668,0.06495796144008636
669,-0.0005521685816347599
670,-0.028982385993003845
671,-0.0404154472053051
672,0.01661984622478485
673,-0.030750973150134087
674,0.004874006379395723
675,-0.02251063659787178
676,0.00863412395119667
677,-0.08977611362934113
678,-0.04598885402083397
679,0.0006432935479097068
680,0.03593752533197403
681,0.004470928572118282
682,-0.0004886237438768148
683,0.00702774990350008
684,-0.01499201636761427
685,-0.03817908093333244
686,-0.005894102621823549
687,-0.005180095322430134
688,-0.02488565631210804
689,-0.005802725441753864
690,0.0385160930454731
691,-0.054905422031879425
692,-0.019784528762102127
693,-0.02532602846622467
694,-0.006376905366778374
695,0.039719875901937485
696,-0.02948201633989811
697,0.009400698356330395
698,0.0053475601598620415
699,0.02270025573670864
700,0.08749278634786606
701,-0.047779630869627
702,-0.0030005360022187233
703,-0.05318823084235191
704,-0.016324719414114952
705,-0.04244160279631615
706,0.019534127786755562
707,0.027249831706285477
708,0.017552420496940613
709,-0.007230207324028015
710,0.03324635326862335
711,-0.009955335408449173
712,0.05470959469676018
713,0.014225907623767853
714,0.0018014259403571486
715,-0.10245390981435776
716,-0.060364630073308945
717,0.010745328851044178
718,-0.014623190276324749
719,0.01903839036822319
720,0.029586659744381905
721,0.09114404022693634
722,0.019585102796554565
723,-0.06535856425762177
724,-0.2603394091129303
725,0.04605989530682564
726,-0.013047270476818085
727,-0.008890957571566105
728,0.0026873298920691013
729,-0.04031127318739891
730,0.07403779774904251
731,0.08066634088754654
732,-0.0006498417933471501
733,-0.099286749958992
734,-0.05297326296567917
735,0.05987783148884773
736,-0.014962548390030861
737,-0.016926806420087814
738,-0.006231510080397129
739,-0.013735363259911537
